Queue_Length,CDF
16,0.007598177163710307
16,0.007607255033678898
16,0.007616332903647488
16,0.007625410773616078
16,0.007634488643584669
16,0.00764356651355326
16,0.007652644383521851
16,0.007661722253490441
17,0.007670800123459031
17,0.007679877993427622
17,0.007688955863396213
17,0.007698033733364803
17,0.007707111603333394
17,0.0077161894733019844
17,0.007725267343270575
17,0.007734345213239165
17,0.007743423083207756
17,0.007752500953176347
17,0.0077615788231449375
17,0.007770656693113527
17,0.007779734563082118
17,0.007788812433050709
17,0.0077978903030193
17,0.00780696817298789
17,0.00781604604295648
17,0.00782512391292507
17,0.007834201782893662
17,0.007843279652862252
17,0.007852357522830844
17,0.007861435392799434
17,0.007870513262768023
18,0.007879591132736615
18,0.007888669002705205
18,0.007897746872673795
18,0.007906824742642387
18,0.007915902612610977
18,0.007924980482579568
18,0.007934058352548158
18,0.007943136222516748
18,0.00795221409248534
18,0.00796129196245393
18,0.00797036983242252
18,0.007979447702391111
18,0.007988525572359701
18,0.007997603442328293
18,0.008006681312296883
18,0.008015759182265473
18,0.008024837052234064
18,0.008033914922202654
18,0.008042992792171244
18,0.008052070662139836
18,0.008061148532108426
18,0.008070226402077017
18,0.008079304272045607
18,0.008088382142014197
18,0.008097460011982789
18,0.008106537881951379
18,0.008115615751919969
18,0.00812469362188856
18,0.00813377149185715
18,0.008142849361825742
18,0.008151927231794332
18,0.008161005101762922
