time,queue_length
1.060443617953339,25
1.060443617953339,26
1.0673673372067647,26
1.0673673372067647,27
1.0828582517894827,27
1.0828582517894827,26
1.1098582517894817,26
1.1098582517894817,25
1.1428582517894805,25
1.1428582517894805,24
1.1608582517894799,24
1.1608582517894799,23
1.2268582517894775,23
1.2268582517894775,22
1.2628582517894762,22
1.2628582517894762,21
1.2808582517894755,21
1.2808582517894755,20
1.4308582517894701,20
1.4308582517894701,19
1.4848582517894682,19
1.4848582517894682,18
1.5238582517894668,18
1.5238582517894668,17
1.5658582517894652,17
1.5658582517894652,16
1.652858251789462,16
1.652858251789462,15
1.7548582517894584,15
1.7548582517894584,14
1.796858251789457,14
1.796858251789457,13
1.8538582517894548,13
1.8538582517894548,12
1.8688582517894543,12
1.8688582517894543,11
1.8958582517894533,11
1.8958582517894533,10
1.904858251789453,10
1.904858251789453,9
1.9468582517894515,9
1.9468582517894515,8
2.0158582517894503,8
2.0158582517894503,7
2.030858251789451,7
2.030858251789451,6
2.1208582517894543,6
2.1208582517894543,5
2.144858251789455,5
2.144858251789455,4
2.1508582517894554,4
2.1508582517894554,3
2.2558582517894594,3
2.2558582517894594,2
2.318858251789462,2
2.318858251789462,1
2.348858251789463,1
2.348858251789463,0
3.2969221568348193,0
3.2969221568348193,1
3.2969221568348193,1
3.2969221568348193,0
3.3058480118545583,0
3.3058480118545583,1
3.3125646566093954,1
3.3125646566093954,2
3.3264037211433193,2
3.3264037211433193,3
3.338869240989025,3
3.338869240989025,4
3.344784230743424,4
3.344784230743424,5
3.355455932171149,5
3.355455932171149,6
3.365418761826034,6
3.365418761826034,7
3.380420741762291,7
3.380420741762291,8
3.393324753930216,8
3.393324753930216,9
3.3998710577446345,9
3.3998710577446345,10
3.4163855755485275,10
3.4163855755485275,11
3.4189108772723205,11
3.4189108772723205,10
3.420485722755399,10
3.420485722755399,11
3.428906691389106,11
3.428906691389106,12
3.4399108772723213,12
3.4399108772723213,11
3.4422095207748455,11
3.4422095207748455,12
3.4467980980739568,12
3.4467980980739568,13
3.4562391667208083,13
3.4562391667208083,14
3.4592037512222915,14
3.4592037512222915,15
3.4712260595563866,15
3.4712260595563866,16
3.484635880029851,16
3.484635880029851,17
3.4952874535698455,17
3.4952874535698455,18
3.4999108772723235,18
3.4999108772723235,17
3.508910877272324,17
3.508910877272324,16
3.51029433406021,16
3.51029433406021,17
3.517212298245223,17
3.517212298245223,18
3.5209108772723243,18
3.5209108772723243,17
3.5296245515195634,17
3.5296245515195634,18
3.540583477749876,18
3.540583477749876,19
3.551333968691544,19
3.551333968691544,20
3.5603033254622845,20
3.5603033254622845,21
3.574798861501665,21
3.574798861501665,22
3.590802269271219,22
3.590802269271219,23
3.600029285330062,23
3.600029285330062,24
3.611993077088897,24
3.611993077088897,25
3.615266716846297,25
3.615266716846297,26
3.6277682019530806,26
3.6277682019530806,27
3.639486857458279,27
3.639486857458279,28
3.6561874389865983,28
3.6561874389865983,29
3.6704231559137783,29
3.6704231559137783,30
3.676921331575934,30
3.676921331575934,31
3.6848767283471666,31
3.6848767283471666,32
3.696905327455899,32
3.696905327455899,33
3.6996302336198994,33
3.6996302336198994,34
3.708678645742616,34
3.708678645742616,35
3.7134985423988702,35
3.7134985423988702,36
3.7175847218394074,36
3.7175847218394074,37
3.720833665477778,37
3.720833665477778,38
3.727910877272332,38
3.727910877272332,37
3.7342962205117822,37
3.7342962205117822,38
3.7385587197088515,38
3.7385587197088515,39
3.744524373314087,39
3.744524373314087,40
3.748910877272333,40
3.748910877272333,39
3.7525540490392055,39
3.7525540490392055,40
3.7675025254666243,40
3.7675025254666243,41
3.7710628962039063,41
3.7710628962039063,42
3.9469108772723405,42
3.9469108772723405,41
3.9979108772723424,41
3.9979108772723424,40
4.048910877272344,40
4.048910877272344,39
4.114910877272346,39
4.114910877272346,38
4.159910877272348,38
4.159910877272348,37
4.309910877272354,37
4.309910877272354,36
4.372910877272356,36
4.372910877272356,35
4.399910877272357,35
4.399910877272357,34
4.420910877272358,34
4.420910877272358,33
4.46291087727236,33
4.46291087727236,32
4.74791087727237,32
4.74791087727237,31
4.762910877272371,31
4.762910877272371,30
4.945910877272378,30
4.945910877272378,29
5.01191087727238,29
5.01191087727238,28
5.026910877272381,28
5.026910877272381,27
5.110910877272384,27
5.110910877272384,26
5.137910877272385,26
5.137910877272385,25
5.182910877272387,25
5.182910877272387,24
5.203910877272388,24
5.203910877272388,23
5.218910877272388,23
5.218910877272388,22
5.248910877272389,22
5.248910877272389,21
5.350910877272393,21
5.350910877272393,20
5.380910877272394,20
5.380910877272394,19
5.512910877272399,19
5.512910877272399,18
5.557910877272401,18
5.557910877272401,17
