Stash_Size,Queue_Length,CDF
1,6,0.014000933395559703
1,6,0.01406760450696713
1,6,0.014134275618374558
1,6,0.014200946729781986
1,6,0.014267617841189413
1,6,0.01433428895259684
1,6,0.014400960064004266
1,6,0.014467631175411694
1,6,0.014534302286819121
1,6,0.014600973398226549
1,6,0.014667644509633976
1,6,0.014734315621041402
1,6,0.01480098673244883
1,6,0.014867657843856257
1,6,0.014934328955263684
1,6,0.015001000066671112
1,6,0.01506767117807854
1,6,0.015134342289485965
1,6,0.015201013400893392
1,6,0.01526768451230082
1,6,0.015334355623708247
1,6,0.015401026735115675
1,6,0.015467697846523102
1,6,0.015534368957930528
1,6,0.015601040069337956
1,6,0.01566771118074538
1,6,0.01573438229215281
1,6,0.015801053403560236
1,7,0.015867724514967665
1,7,0.01593439562637509
1,7,0.01600106673778252
